city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips,id,airports-3rddegree,airports-airblast1,airports-airblast5,airports-fireball,bases-3rddegree,bases-airblast1,bases-airblast5,bases-fireball,capitals-3rddegree,capitals-airblast1,capitals-airblast5,capitals-fireball,cities-3rddegree,cities-airblast1,cities-airblast5,cities-fireball,earthquakes10,earthquakes20,earthquakes50,earthquakes70,hurricanes-200-land,hurricanes-400-land,hurricanes-50-land,hurricanes-650-land,ports-3rddegree,ports-airblast1,ports-airblast5,ports-fireball,power-3rddegree,power-airblast1,power-airblast5,power-fireball,railyard-3rddegree,railyard-airblast1,railyard-airblast5,railyard-fireball,silo-3rddegree,silo-airblast1,silo-airblast5,silo-fireball,tornado10,tornado25,tornado40,tornado65,wildfires-1,wildfires-2,wildfires-3,wildfires-4
Warren,Warren,MI,Michigan,"26099",Macomb,"42.4934","-83.0270","135022","135022","1517",polygon,True,America/Detroit,48092 48093 48091 48089 48088 48397,"1840002418","0","0","0","0","1","1","1","1","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0"
Riverview,Riverview,MI,Michigan,"26163",Wayne,"42.1728","-83.1935","12107","12107","1063",polygon,True,America/Detroit,"48193","1840003961","1","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","1","1","1","0","0","0","0","0","1","1","1","0","0","0","0","0"
Berkley,Berkley,MI,Michigan,"26125",Oakland,"42.4986","-83.1853","15331","15331","2263",polygon,True,America/Detroit,"48072","1840002437","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","1","1","0","0","0","0","0"
Taylor,Taylor,MI,Michigan,"26163",Wayne,"42.2260","-83.2688","61276","61276","1002",polygon,True,America/Detroit,"48180","1840003965","1","1","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","1","1","0","0","0","0","0"
Midland,Midland,MI,Michigan,"26111",Midland,"43.6239","-84.2315","59138.0","41950","470",polygon,True,America/Detroit,48667 48642 48640 48670 48686,"1840002660","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","1","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0"
Mount Clemens,Mount Clemens,MI,Michigan,"26099",Macomb,"42.5976","-82.8820","16312","16312","1538",polygon,True,America/Detroit,48043 48036 48046,"1840003089","0","0","0","0","1","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0"
Detroit,Detroit,MI,Michigan,"26163",Wayne,"42.3834","-83.1024","3522206.0","673104","1873",polygon,True,America/Detroit,48209 48208 48201 48207 48206 48205 48204 48226 48238 48239 48234 48235 48233 48203 48202 48243 48214 48215 48216 48217 48210 48211 48212 48213 48219 48228 48224 48227 48221 48223 48231 48232 48244 48255 48260 48264 48266 48267 48268 48269 48272 48275 48277 48278 48279 48288,"1840003971","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1","1","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0"
Adrian,Adrian,MI,Michigan,"26091",Lenawee,"41.8994","-84.0446","43877.0","20689","997",polygon,True,America/Detroit,"49221","1840003226","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0"
Walker,Walker,MI,Michigan,"26081",Kent,"42.9858","-85.7442","24822","24822","384",polygon,True,America/Detroit,49544 49534,"1840002925","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","0","0","0","0","0","1","1","0","0","0","0","0","0"
Southfield,Southfield,MI,Michigan,"26125",Oakland,"42.4765","-83.2605","73208","73208","1076",polygon,True,America/Detroit,48033 48034 48075 48076 48037 48086,"1840002431","0","0","0","0","1","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","0","0","1","1","1","0","0","0","0","0"
